countryname,gdp,population,gdp per capita,debt,foreign currency reserves,gold reserves
Uruguay,84986000000,3485890.074,24380,59745158000,18978000000,14500000
Venezuela,82767000000,26673219.47,3103,1.36E+11,13440000000,0
DR Congo,82262000000,106556994.8,772,0,0,0
Slovenia,79221000000,2130856.958,37178,53078070000,1364000000,581450000
Azerbaijan,76390000000,10372029.87,7365,15965510000,11434000000,26825000000
Turkmenistan,72119000000,6677066.938,10801,3317474000,0,0
Uganda,64993000000,48036215.82,1353,33666374000,6015000000,0
Cameroon,60577000000,29885051.8,2027,25866379000,0,0
Myanmar,60561000000,55206016.41,1097,37123893000,0,0
Tunisia,59069000000,12430345.12,4752,47137062000,2.68E+13,991800000
Bolivia,57086000000,12450599.78,4585,54231700000,505000000,3262500000
Jordan,56157000000,11441931.54,4908,50653614000,19995000000,10560350000
Zimbabwe,53310000000,17359166.4,3071,46379700000,0,0
Macao,52379000000,699123.0763,74921,0,0,0
Cambodia,48802000000,17354907.54,2812,12981332000,0,7892350000
Libya,47941000000,6982376.93,6866,0,0,21315000000
Latvia,47880000000,1868123.293,25630,22312080000,5178000000,965700000
Paraguay,47398000000,6971319.312,6799,21423896000,8576000000,1187550000
Bahrain,47391000000,1620038.97,29253,63503940000,1364000000,677150000
Estonia,46763000000,1373725.801,34041,10989305000,0,36250000
Nepal,45513000000,29650162.87,1535,19388538000,0,1158550000
Cyprus,39943000000,941763.1387,42413,25084204000,2487000000,2015500000
Honduras,39445000000,10845477.04,3637,15699110000,9423000000,101500000
Iceland,38386000000,391095.2624,98150,22762898000,9.89E+11,287100000
Georgia,37403000000,3693758.641,10126,13502483000,5.82E+12,0
Senegal,36839000000,19176991.15,1921,43470020000,0,0
El Salvador,36587000000,6369603.064,5744,22365633100,4519000000,262450000
Sudan,35897000000,50417134.83,712,97639840000,0,0
Bosnia and Herzegovina,33237000000,3444962.687,9648,5617053000,18213000000,504600000
Papua New Guinea,32714000000,12803913.89,2555,16716854000,3484000000,284200000
Haiti,30908000000,12559122.31,2461,4327120000,0,262450000
Albania,29939000000,2695264.674,11108,16376633000,7073000000,495900000
Zambia,29369000000,21706577.97,1353,20440824000,5067000000,0
Lebanon,28280000000,5354032.563,5282,46379200000,0,41615000000
Armenia,27859000000,3106143.383,8969,14013077000,5085000000,0
Malta,27745000000,563041.5813,49277,12818190000,0,49300000
Guinea,27515000000,15804135.55,1741,11666360000,0,0
Burkina Faso,26866000000,24095067.26,1115,15743476000,0,0
Trinidad and Tobago,26002000000,1434909.773,18121,15174767200,0,0
Mali,25591000000,25237672.58,1014,0,0,0
Mongolia,25105000000,3583868.665,7005,8284650000,5866000000,1107800000
Guyana,25064000000,798776.2126,31378,6090552000,1034000000,0
Mozambique,24726000000,35834782.61,690,19014294000,3937000000,571300000
Benin,24402000000,14924770.64,1635,13030668000,0,0
Jamaica,23137000000,2752766.211,8405,15710023000,6122000000,0
Niger,22969000000,29111533.59,789,10634647000,0,0
Chad,21592000000,18956979.81,1139,7298096000,0,0
Gabon,21455000000,2306245.297,9303,15747970000,0,0
Nicaragua,20689000000,7006095.496,2953,8089399000,7591000000,0
Kyrgyzstan,20160000000,7225806.452,2790,5221440000,8269000000,5901500000
Syria,19993439950,23605005.84,847,0,0,0
Moldova,19620000000,2381356.961,8239,7416360000,5.08E+12,0
Madagascar,19377000000,31456168.83,616,7518276000,0,0
Botswana,19186000000,2763358.779,6943,4777314000,3799000000,0
North Macedonia,18783000000,1809886.298,10378,0,0,0
Afghanistan,18080000000,43357314.15,417,1500640000,0,0
Yemen,17352000000,41812048.19,415,12302568000,0,0
Tajikistan,17032000000,10360097.32,1644,5024440000,0,0
Laos,16934000000,7789328.427,2174,11635351400,2837000000,0
North Korea,16446632290,25697862.95,640,0,0,0
Bahamas,16393000000,412651.6639,39726,13360295000,2870000000,0
