countryname,gdp,population,gdp per capita,debt,foreign currency reserves,gold reserves
Mauritius,15730000000,1256490.135,12519,12914330000,9341000000,1800900000
Congo,15695000000,6485537.19,2420,3029135000,7657000000,0
Brunei,15565000000,459714.1001,33858,357995000,0,0
Malawi,14975000000,24075562.7,622,13133075000,921000000,0
Rwanda,14771000000,14162032.6,1043,9926112000,0,0
Namibia,14686000000,3049418.605,4816,9589958000,49162000000,0
State of Palestine,13711000000,5612361.85,2443,0,0,0
Equatorial Guinea,13467000000,1636529.347,8229,4875054000,0,0
Somalia,12944000000,16964613.37,763,0,0,0
Mauritania,11953000000,4629357.088,2582,4817059000,0,0
Togo,10951000000,9777678.571,1120,7578092000,0,0
New Caledonia,10139988153,289871.3059,34981,0,0,0
Monaco,9995350547,38955.92638,256581,0,0,0
Liechtenstein,9424000000,40671.00249,231713,0,0,0
Montenegro,9353000000,624115.8415,14986,5639859000,0,0
Bermuda,8980200000,64635.98085,138935,0,0,0
Sierra Leone,8639000000,8815306.122,980,3714770000,0,0
Maldives,7676000000,410832.7981,18684,4789824000,886000000,0
Barbados,7559000000,291549.3501,25927,0,2781000000,0
Isle of Man,7431257411,84131.5696,88329,0,0,0
Cayman Islands,7139428558,73037.63231,97750,456923427.7,0,0
Burundi,7025000000,14454732.51,486,920275000,4.76E+11,0
Guam,6910000000,165180.599,41833,0,0,0
French Polynesia,6402221222,281119.7516,22774,0,0,0
Fiji,6336000000,928351.6484,6825,4961088000,0,4350000
Eswatini,5201000000,1179365.079,4410,0,0,0
Liberia,5182000000,5732300.885,904,2844918000,0,0
South Sudan,4979000000,15907348.24,313,0,0,0
U.S. Virgin Islands,4672000000,105412.784,44321,0,0,0
Djibouti,4613000000,1055848.02,4369,2075850000,0,0
Suriname,4496000000,657021.7741,6843,3920512000,0,175450000
Andorra,4408000000,89138.7434,49451,0,0,0
Aruba,4319000000,109049.134,39606,0,0,450950000
Faeroe Islands,3907323961,54439.26716,71774,0,0,0
Bhutan,3408000000,795332.5554,4285,3680640000,1004000000,0
Greenland,3326544174,56864.97503,58499,0,0,0
Central African Republic,3300000000,5509181.97,599,2003100000,0,0
Belize,3297000000,417500.3166,7897,1404522000,482000000,0
Cura̤ao,3281419347,155798.0888,21062,0,0,0
Cabo Verde,2915000000,514018.6916,5671,0,0,0
Saint Lucia,2659000000,181538.8817,14647,0,0,0
Gambia,2497000000,2805617.978,890,1797840000,0,0
Guinea-Bissau,2474000000,2019591.837,1225,0,0,0
Lesotho,2390000000,2387612.388,1001,1434000000,0,0
Antigua and Barbuda,2340000000,104866.8997,22314,0,0,0
Eritrea,2275290216,3468430.207,656,3731475954,0,0
San Marino,2241000000,34334.8297,65269,0,0,0
Seychelles,2230000000,101566.7699,21956,1360300000,884000000,0
Timor-Leste,2125000000,1409151.194,1508,0,0,0
Solomon Islands,1904000000,797988.2649,2386,0,0,0
Turks and Caicos,1745378000,46534.72685,37507,0,0,0
Sint Maarten,1735210228,43349.91076,40028,0,0,0
Comoros,1613000000,909757.4732,1773,458092000,0,0
British Virgin Islands,1505856107,38984.54726,38627,0,0,0
Grenada,1458000000,116230.8673,12544,0,0,0
Samoa,1248000000,211992.5259,5887,0,0,0
St. Vincent & Grenadines,1238000000,111210.9235,11132,0,0,0
Saint Kitts & Nevis,1141000000,51493.81713,22158,0,0,0
Vanuatu,1119000000,357165.6559,3133,0,0,0
Northern Mariana Islands,1096000000,46077.52459,23786,0,0,0
Sao Tome & Principe,976000000,240334.8929,4061,0,0,0
American Samoa,871000000,48343.23139,18017,0,0,0
Dominica,748000000,75221.23894,9944,0,0,0
Saint Martin,649206156,29961.51726,21668,0,0,0
Tonga,587000000,99138.65901,5921,0,0,0
Micronesia,495000000,94447.6245,5241,0,0,0
Anguilla,415735284,14410.23515,28850,0,0,0
Cook Islands,366211548,14221.80769,25750,0,0,0
Palau,341000000,17526.72697,19456,0,0,0
Kiribati,321000000,129383.3132,2481,0,0,0
Marshall Islands,302000000,36442.62097,8287,0,0,0
Nauru,172000000,12049.8809,14274,0,0,0
Montserrat,80429630,4419.939001,18197,0,0,0
Tuvalu,58000000,9948.542024,5830,0,0,0
